pdbId,deg_0,clco_0,clce_0,dce_0,ebc_0,cfcc_0,sgc_0,cpl_0,cs_0,dc2_0,deg_1,clco_1,clce_1,dce_1,ebc_1,cfcc_1,sgc_1,cpl_1,cs_1,dc2_1,deg_2,clco_2,clce_2,dce_2,ebc_2,cfcc_2,sgc_2,cpl_2,cs_2,dc2_2,deg_3,clco_3,clce_3,dce_3,ebc_3,cfcc_3,sgc_3,cpl_3,cs_3,dc2_3,deg_4,clco_4,clce_4,dce_4,ebc_4,cfcc_4,sgc_4,cpl_4,cs_4,dc2_4,deg_5,clco_5,clce_5,dce_5,ebc_5,cfcc_5,sgc_5,cpl_5,cs_5,dc2_5,deg_6,clco_6,clce_6,dce_6,ebc_6,cfcc_6,sgc_6,cpl_6,cs_6,dc2_6,deg_7,clco_7,clce_7,dce_7,ebc_7,cfcc_7,sgc_7,cpl_7,cs_7,dc2_7,deg_8,clco_8,clce_8,dce_8,ebc_8,cfcc_8,sgc_8,cpl_8,cs_8,dc2_8,deg_9,clco_9,clce_9,dce_9,ebc_9,cfcc_9,sgc_9,cpl_9,cs_9,dc2_9,label
3ous:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.0,0.08409363371650871,0.011949900881766923,0.02313341661150279,122.52672210422064,2.2414700668639145,0.0,0.08231501529534932,3.4285224496792903,0.0,0.2192640808499442,0.13105312295318527,0.08098639652131068,0.0,326.39096261764655,0.0,0.0,0.1563185799266323,4.99990000199996,0.33330000333300003,0.29302886688230245,0.0,0.0,0.0,0.0,0.0,1.1757134320892115,0.24679010793360556,6.347798487832661,0.4152413135206116,0.3631923803135382,0.0,0.0,0.0,0.0,0.0,1.384621489181173,0.3283948668659335,7.999966666805555,0.5225030474872664,0.0,0.0,0.0,0.0,0.0,0.0,1.7253475374916967,0.4115750764767467,9.43744101599365,0.6276661443367766,0.0,0.0,0.0,0.0,0.0,0.0,2.153487994916165,0.0,10.99972500687483,0.7227432922702975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.999400029998501,0.7999885715918343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499841669305512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4fxr:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.0,0.033568665107173844,0.006712340190379646,0.00784377607142783,86.93342680360892,2.842561265823227,0.0,0.07733117602972621,3.727238843283243,0.0,0.19030528079145104,0.0,0.0,0.0,311.56065236414764,0.0,0.0,0.12554594053617826,4.999968750195311,0.30934400552515917,0.24686421398069397,0.0,0.0,0.0,0.0,0.0,1.137575926638809,0.0,6.511897009646417,0.4079489274417446,0.0,0.0,0.0,0.0,0.0,0.0,1.3901588925698372,0.0,7.999985185212619,0.49973542407114413,0.0,0.0,0.0,0.0,0.0,0.0,1.7362658249440155,0.0,9.304327599287827,0.6223341191591267,0.0,0.0,0.0,0.0,0.0,0.0,2.151971622855678,0.0,10.99972500687483,0.7208954659246599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.998800119988001,0.8062449609689942,0.0,0.0,0.0,0.0,0.0,0.0,3.191521335902003,0.0,0.0,0.963627603385424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4fxr:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.0,0.033314997612661185,0.006799342691717805,0.007683497543231117,87.08797252182129,2.783421133600674,0.0,0.07705756452198177,3.727238843283243,0.0,0.1894886731772666,0.0,0.0,0.0,286.1538800250839,0.0,0.0,0.12710470497720544,4.999972222376543,0.30961914563369547,0.2486982484844883,0.0,0.0,0.0,0.0,0.0,1.1369498312328692,0.0,6.4883645484133154,0.4095979094139472,0.0,0.0,0.0,0.0,0.0,0.0,1.397541644461633,0.0,7.999983673502706,0.5036725468018953,0.0,0.0,0.0,0.0,0.0,0.0,1.7373091186330214,0.0,9.217371266584202,0.6259726033090185,0.0,0.0,0.0,0.0,0.0,0.0,2.1323314136221847,0.0,10.999780004399913,0.7182030581892933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.998800119988001,0.8083292916868752,0.0,0.0,0.0,0.0,0.0,0.0,3.169896039918947,0.0,0.0,0.9624879689003888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2w43:A,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9998000199980002,0.0,0.13354962129262546,0.03532336551076342,0.007255268260795135,0.007593473981037725,88.30009149994655,2.968078218350552,0.0,0.07582615831086607,3.7272557852009762,0.16665000166650001,0.18975566093687382,0.0,0.09444089614393372,0.0,302.31731204736326,0.0,0.0,0.12980537035911677,4.999979166753472,0.31782395122656987,0.2516530334984244,0.0,0.0,0.0,0.0,0.0,1.124637894743432,0.20395970353213433,6.4677315036588645,0.4114383653434806,0.0,0.0,0.0,0.0,0.0,0.0,1.3878644340278425,0.0,7.999980952426303,0.5063166733058542,0.0,0.0,0.0,0.0,0.0,0.0,1.719623428532801,0.0,9.439001368289345,0.6200021984077022,0.0,0.0,0.0,0.0,0.0,0.0,2.076301643749486,0.0,10.999780004399913,0.717852656278041,0.0,0.0,0.0,0.0,0.0,0.0,2.7112547027109777,0.0,11.99960001333289,0.8055510802717766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9444339507338808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2w43:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13491247750983576,0.03608038396985832,0.007152374709384621,0.007872339790894781,89.89443060985121,2.8036841131397567,0.0,0.07799138633214842,3.818164462888805,0.16665000166650001,0.19021519561857725,0.0,0.09457039604246682,0.0,317.9101087874992,0.0,0.0,0.13134130324231316,4.999968750195311,0.31119870537875394,0.25318504992199786,0.0,0.0,0.0,0.0,0.0,1.1177749664968746,0.204979502049795,6.464779627070947,0.40762777342963874,0.0,0.0,0.0,0.0,0.0,0.0,1.386062692737421,0.0,7.999980487852468,0.5080246463177492,0.0,0.0,0.0,0.0,0.0,0.0,1.7221704130262496,0.0,9.357120578284336,0.6278756760526591,0.0,0.0,0.0,0.0,0.0,0.0,2.092002002552139,0.0,10.999780004399913,0.7172106002115002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.33292223592547,0.8041633159861837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9499881251484358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3ros:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.12404121479994357,0.016078237594622378,0.004237847614323219,0.0034220185791982542,95.43835875129993,3.2528849591138735,0.0,0.04842390997452315,3.7058714533192547,0.18332416712497712,0.154879324094207,0.0,0.07630562742664627,0.0,308.83712538463334,10.267955491230214,0.0,0.0,4.99998888891358,0.31487095673773113,0.0,0.0,0.0,0.0,0.0,0.0,1.1277870298419954,0.0,6.464784179729451,0.40399855703025883,0.0,0.0,0.0,0.0,0.0,0.0,1.3975186384678877,0.0,7.999992660557192,0.501399775637679,0.0,0.0,0.0,0.0,0.0,0.0,1.7618475259513728,0.0,9.39046724717405,0.6300150963966814,0.0,0.0,0.0,0.0,0.0,0.0,2.135867615044699,0.0,10.999926667155552,0.712695443134066,0.0,0.0,0.0,0.0,0.0,0.0,2.706475984092469,0.0,11.999828573877517,0.8074044170206779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963627603385424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
4jvt:A,0.9999000099990001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.11651721920825778,0.028362099859105115,0.00630532735368439,0.004958106756733639,96.9274695022206,3.51857199738033,0.0,0.06626633543927733,3.8947163435981915,0.0,0.17198680010437292,0.0,0.09439742058707111,0.0,319.9557365227162,10.465895201144225,0.0,0.11887139721174388,4.999982142920918,0.31332706679199746,0.0,0.0,0.14756537214207793,0.0,0.0,0.0,1.1475378904007354,0.0,6.430546624240799,0.40469642602468764,0.0,0.0,0.0,0.0,0.0,0.0,1.4083176000809203,0.0,7.999988888904321,0.49926147958017253,0.0,0.0,0.0,0.0,0.0,0.0,1.7379512394878616,0.0,9.33960501961317,0.6244122660860106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999862501718729,0.7157976121753555,0.0,0.0,0.0,0.0,0.0,0.0,2.697990335115424,0.0,12.499375031248439,0.8087676731525978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636276033854237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2zbc:A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.12478936926993145,0.07698161109005928,0.013897576905001752,0.015246852127406776,70.88357175796874,2.393155003790429,0.0,0.060239959856090756,3.64703737036841,0.0,0.2202713427341814,0.1260120597606096,0.09115371742703376,0.0,0.0,10.751538316758806,0.0,0.15979666255158548,4.999928572448965,0.33331666749995836,0.2719650989254429,0.0,0.0,0.0,0.0,0.0,1.1117151987764091,0.23746522698741396,6.592568175673423,0.40644587241171026,0.0,0.0,0.0,0.0,0.0,0.0,1.4077561557152287,0.3207791227910856,7.9999529414532855,0.5002304841717552,0.0,0.0,0.0,0.0,0.0,0.0,1.7814350995046906,0.0,9.166590278414347,0.6380928747882945,0.0,0.0,0.0,0.0,0.0,0.0,2.180568473973238,0.0,10.998900109989002,0.7095159260135205,0.0,0.0,0.0,0.0,0.0,0.0,2.6613574746215267,0.0,0.0,0.8222085187469098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999833336111065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2zbc:B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999000049997502,0.0,0.13486167796873316,0.0789633159300014,0.013135163243253022,0.017101515671483346,75.29086730625609,2.017500587325435,0.0,0.06827195450356952,3.7499687502604147,0.0,0.22447548765004308,0.13007696491417767,0.09197491683922182,0.0,0.0,0.0,0.0,0.16432350606255003,4.999954545867765,0.3166508341249604,0.2769402600478686,0.0,0.0,0.0,0.0,0.0,1.1037715430269441,0.23746522698741393,6.615359171695493,0.4051043007907602,0.0,0.0,0.0,0.0,0.0,0.0,1.3879610772249793,0.31458820470937204,7.999957894958448,0.5010292408855416,0.0,0.0,0.0,0.0,0.0,0.0,1.7424683190812837,0.3975506063851446,9.090826447032299,0.6264527062598181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.999450027498627,0.7095159260135205,0.0,0.0,0.0,0.0,0.0,0.0,2.686319656094543,0.0,0.0,0.8237977552701629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999750006249845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2zbc:C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999333355554816,0.0,0.12662287493676277,0.07481873214676496,0.014643422623801043,0.016768118958804704,71.6803265353307,2.2840151052631086,0.0,0.06584252402377656,3.769201775370959,0.0,0.22306593229921406,0.1177073524387297,0.09234496965833482,0.0,0.0,10.005873982025802,0.0,0.1679007548514587,4.9999375007812406,0.32666013346399736,0.2740067783134661,0.0,0.0,0.0,0.0,0.0,1.1477631209148764,0.2446681699168813,6.5999780000733335,0.39869845085522126,0.0,0.0,0.0,0.0,0.0,0.0,1.3886769631325908,0.3315649282611659,7.99994666702222,0.5031719549011563,0.0,0.0,0.0,0.0,0.0,0.0,1.7203977316390475,0.0,9.09990900090999,0.6345655509917864,0.0,0.0,0.0,0.0,0.0,0.0,2.059734113565753,0.0,10.999450027498627,0.7148720164807464,0.0,0.0,0.0,0.0,0.0,0.0,2.7175079312236896,0.0,0.0,0.8199836003279936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999666677777408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
